"Date","Price","Open","High","Low","Vol.","Change %"
"05/03/2024","71.671097","71.921547","74.209900","71.305054","","-0.30%"
"05/02/2024","71.889603","74.230003","74.930847","71.171799","","-3.22%"
"05/01/2024","74.278351","74.049004","74.929199","73.423447","","0.35%"
"04/30/2024","74.016098","73.870697","74.536003","73.282249","","0.49%"
"04/29/2024","73.654602","73.382851","74.665749","72.352753","","1.58%"
"04/26/2024","72.507301","72.671501","73.515404","71.731453","","-0.18%"
"04/25/2024","72.639297","72.583649","73.109497","72.181450","","0.50%"
"04/24/2024","72.275398","73.322304","74.100998","72.047997","","-1.38%"
"04/23/2024","73.289902","73.522453","74.889648","72.243851","","-0.42%"
"04/22/2024","73.597397","73.355850","74.431099","71.889702","","0.50%"
"04/19/2024","73.232903","74.231148","75.051552","72.683052","","-0.84%"
"04/18/2024","73.854500","74.233551","75.325150","73.437897","","-0.47%"
"04/17/2024","74.200699","74.280350","75.053802","73.863800","","-0.06%"
"04/16/2024","74.243698","73.813797","74.954102","73.474251","","0.63%"
"04/15/2024","73.781097","73.628601","74.318649","73.325851","","0.19%"
"04/12/2024","73.639397","73.685753","74.690750","73.341049","","0.46%"
"04/11/2024","73.301300","73.780098","74.993752","72.989052","","-0.01%"
"04/10/2024","73.309700","73.297951","74.092499","73.016647","","-0.02%"
"04/09/2024","73.323700","72.914001","74.203102","72.233452","","0.39%"
"04/08/2024","73.039398","72.930099","73.527397","72.368950","","0.66%"
"04/05/2024","72.563698","72.751953","73.322601","72.061852","","-0.21%"
"04/04/2024","72.719704","72.860703","74.681747","71.623497","","-0.15%"
"04/03/2024","72.828400","73.198097","73.556702","72.508202","","-0.46%"
"04/02/2024","73.165604","72.987297","73.894547","72.658699","","0.29%"
"04/01/2024","72.950500","73.308998","73.473846","72.425903","","-0.07%"
"03/29/2024","73.005096","73.354950","73.654648","72.873703","","-0.17%"
"03/28/2024","73.126602","73.372200","73.864250","72.538002","","0.26%"
"03/27/2024","72.935303","73.451149","74.025803","72.753448","","-0.15%"
"03/26/2024","73.041397","73.747253","74.125351","72.736252","","-0.91%"
"03/25/2024","73.714401","73.260399","74.428596","73.092697","","0.66%"
"03/22/2024","73.227699","73.061600","74.735847","72.754951","","0.28%"
"03/21/2024","73.022003","73.359848","73.581100","72.705597","","-0.42%"
"03/20/2024","73.327103","73.615303","74.037598","73.117348","","-0.09%"
